url,name,discount,price,location,image_url,brand,model_name,ram,rom,warranty
https://www.lazada.vn/products/pdp-i3105127037.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105126034.html,[Chính hãng]Điện thoại 0PP0_A5 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,900000,Hưng Yên,https://img.lazcdn.com/g/p/1f4ae9329ce490a5623656a812fb1ae7.jpg_200x200q80.avif,<s>,0PP0_A5 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105123114.html,[Chính hãng]Điện thoại 0PP0_A5 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,900000,Hà Nội,https://img.lazcdn.com/g/p/1f4ae9329ce490a5623656a812fb1ae7.jpg_200x200q80.avif,<s>,0PP0_A5 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105123085.html,"Điện thoại P0c0 X7pr0 Ram 12GB/256GB pin 6000 mAh máy chính hãng, bảo hành 12 tháng",50,1000000,Hưng Yên,https://img.lazcdn.com/g/p/4088d5ec3e9f7d10227ebacbfd214ddc.jpg_200x200q80.avif,<s>,,6000 mAh,6000 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105121036.html,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,Hưng Yên,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_200x200q80.avif,<s>,0PP0 F11 (6GB/64GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105117168.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Lào Cai,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105112215.html,"Điện thoại Red.mi Note 14  2sim ram 8G/256G, Cấu hình mạnh, cày game nặng siêu mượt, máy chính hãng, bảo hành 12 tháng",50,1100000,Hà Nội,https://img.lazcdn.com/g/p/6916d972afb2767ad53265669d861ddc.jpg_200x200q80.avif,<s>,Red.mi Note 14,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105111170.html,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,730000,Hà Nội,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105111140.html,[Chính hãng] Điện thoại Opp0 FFIND N3 (16GB/512GB) - Hàng chính hãng,50,1500000,Hà Nội,https://img.lazcdn.com/g/p/7cb3bb78e90e2bc2ed62db73b015699e.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N3 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105110229.html,"Điện thoại Redmi_n0te 14 pro plus Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1400000,Hà Nội,https://img.lazcdn.com/g/p/ab344f79b1c1a2f2eec197483ef796a0.jpg_200x200q80.avif,<s>,Redmi_n0te 14 pro,12GB/512GB pin 5110 mAh,Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105098175.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Hưng Yên,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105090206.html,[Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày,50,1500000,An Giang,https://img.lazcdn.com/g/p/9e45167268e9767cf8e3ad3179ce3ebe.jpg_200x200q80.avif,<s>,,<s>,<s>,<s> Sản phẩm được bảo hành bao lâu?</s></s> [Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày
https://www.lazada.vn/products/pdp-i3105089220.html,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,1100000,An Giang,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_200x200q80.avif,<s>,<s> Tên sản phẩm là gì?</s></s> điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105081335.html,"Điện thoại Red.mi Note 14  2sim ram 8G/256G, Cấu hình mạnh, cày game nặng siêu mượt, máy chính hãng, bảo hành 12 tháng",50,1100000,Lào Cai,https://img.lazcdn.com/g/p/6916d972afb2767ad53265669d861ddc.jpg_200x200q80.avif,<s>,Red.mi Note 14,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105080362.html,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,1100000,Hà Nội,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_200x200q80.avif,<s>,<s> Tên sản phẩm là gì?</s></s> điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105079327.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105078127.html,Điện Thoại HONOR X9c 5G (12GB/256GB) Chính Hàng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,47,3599000,Hà Nội,https://img.lazcdn.com/g/p/d127c5d7d020c80fd8d6b59f06c05fb2.jpg_200x200q80.avif,<s>,HONOR X9c 5G (12GB/256GB),<s>,<s>,18 Tháng
https://www.lazada.vn/products/pdp-i3105076266.html,"Điện thoại P0c0 X7pr0 Ram 12GB/256GB pin 6000 mAh máy chính hãng, bảo hành 12 tháng",50,1000000,An Giang,https://img.lazcdn.com/g/p/4088d5ec3e9f7d10227ebacbfd214ddc.jpg_200x200q80.avif,<s>,,6000 mAh,6000 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105071365.html,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,1100000,Hưng Yên,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_200x200q80.avif,<s>,<s> Tên sản phẩm là gì?</s></s> điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105069358.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Hà Nội,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105067437.html,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,730000,Hà Nội,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105064334.html,điện thoại 0PP0 A53 (128GB) |Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,Hà Nội,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105063442.html,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,730000,Hà Nội,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105058442.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Hà Nội,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105057440.html,[Chính hãng] Điện thoại Opp0 FFIND N5 (16GB/512GB) - Hàng chính hãng,50,1600000,Lào Cai,https://img.lazcdn.com/g/p/448150a59731e5622f60b1f9e572afb6.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N5 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105056443.html,[Chính hãng] Điện thoại Opp0 FFIND N5 (16GB/512GB) - Hàng chính hãng,50,1600000,Hà Nội,https://img.lazcdn.com/g/p/448150a59731e5622f60b1f9e572afb6.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N5 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105054402.html,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,An Giang,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_200x200q80.avif,<s>,0PP0 F11 (6GB/64GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105053453.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Hà Nội,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105053452.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Hà Nội,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105052360.html,[Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày,50,1500000,Hưng Yên,https://img.lazcdn.com/g/p/9e45167268e9767cf8e3ad3179ce3ebe.jpg_200x200q80.avif,<s>,,<s>,<s>,<s> Sản phẩm được bảo hành bao lâu?</s></s> [Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày
https://www.lazada.vn/products/pdp-i3105124047.html,"Điện thoại mi Mi 15 Cấu hình mạnh, cày game nặng siêu mượt (12+256B) | Màn hình 6.36",50,1300000,Hà Nội,https://img.lazcdn.com/g/p/f022ab76aa346c6622db7d4b51b9fe23.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105120092.html,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,Lào Cai,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_200x200q80.avif,<s>,0PP0 F11 (6GB/64GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105091274.html,[Chính hãng] Điện thoại Opp0 FFIND N3 (16GB/512GB) - Hàng chính hãng,50,1500000,Hà Nội,https://img.lazcdn.com/g/p/7cb3bb78e90e2bc2ed62db73b015699e.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N3 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105091212.html,"điện thoại 0PP0 A79 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,850000,Hưng Yên,https://img.lazcdn.com/g/p/4302c50ed2deffb143c0de065c38fc34.jpg_200x200q80.avif,<s>,0PP0 A79 5G (8GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105049844.html,"Điện thoại Samsung Galaxy A13 máy 2sim ram 4G-6G/128G Chính Hãng, lướt Web Tiktok Facebook Youtube , Camera mượt",0,2500000,Bạc Liêu,https://img.lazcdn.com/g/p/4dc9b3599833abe9406aae39c9dc1aa3.jpg_200x200q80.avif,<s>,<s>,4G-6G/128G,<s>,<s>
https://www.lazada.vn/products/pdp-i3105049530.html,điện thoại 0PP0 A93 5G (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,750000,Lào Cai,https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_200x200q80.avif,<s>,0PP0 A93 5G (8GB/128GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105042478.html,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,1100000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_200x200q80.avif,<s>,<s> Tên sản phẩm là gì?</s></s> điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105041538.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Lào Cai,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105040544.html,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,730000,Hưng Yên,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105039419.html,"Điện thoại mi Mi 15 Cấu hình mạnh, cày game nặng siêu mượt (12+256B) | Màn hình 6.36",50,1300000,An Giang,https://img.lazcdn.com/g/p/f022ab76aa346c6622db7d4b51b9fe23.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105038535.html,điện thoại 0PP0 A53 (128GB) |Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105034549.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Hưng Yên,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105032567.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,Hà Nội,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105030534.html,[Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày,50,1500000,Hà Nội,https://img.lazcdn.com/g/p/9e45167268e9767cf8e3ad3179ce3ebe.jpg_200x200q80.avif,<s>,,<s>,<s>,<s> Sản phẩm được bảo hành bao lâu?</s></s> [Chính hãng]Điện thoại 0PP0_Ren0 13 pro 5G (12/512) - BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày
https://www.lazada.vn/products/pdp-i3105030512.html,"Điện thoại mi Mi 15 Cấu hình mạnh, cày game nặng siêu mượt (12+256B) | Màn hình 6.36",50,1300000,Hưng Yên,https://img.lazcdn.com/g/p/f022ab76aa346c6622db7d4b51b9fe23.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105024588.html,điện thoại 0PP0 A92 (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,720000,An Giang,https://img.lazcdn.com/g/p/6511a36f6bd5b3f1a264643cd4166036.jpg_200x200q80.avif,<s>,0PP0 A92 (8GB/128GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105023574.html,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,650000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_200x200q80.avif,<s>,0PP0 F11 (6GB/64GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105022540.html,"Điện thoại Redmi_n0te 14 pro plus Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1400000,An Giang,https://img.lazcdn.com/g/p/ab344f79b1c1a2f2eec197483ef796a0.jpg_200x200q80.avif,<s>,Redmi_n0te 14 pro,12GB/512GB pin 5110 mAh,Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105021609.html,[Chính hãng]Điện thoại 0PP0_A5 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,900000,Hà Nội,https://img.lazcdn.com/g/p/1f4ae9329ce490a5623656a812fb1ae7.jpg_200x200q80.avif,<s>,0PP0_A5 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105021579.html,điện thoại 0PP0 A93 5G (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,750000,Hà Nội,https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_200x200q80.avif,<s>,0PP0 A93 5G (8GB/128GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105017674.html,"Điện thoại Red.mi Note 14  2sim ram 8G/256G, Cấu hình mạnh, cày game nặng siêu mượt, máy chính hãng, bảo hành 12 tháng",50,1100000,Hà Nội,https://img.lazcdn.com/g/p/6916d972afb2767ad53265669d861ddc.jpg_200x200q80.avif,<s>,Red.mi Note 14,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105016598.html,"điện thoại 0PP0 A79 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",50,850000,An Giang,https://img.lazcdn.com/g/p/4302c50ed2deffb143c0de065c38fc34.jpg_200x200q80.avif,<s>,0PP0 A79 5G (8GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105015615.html,"Điện thoại Redmi_n0te 14 pro plus Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1400000,Hà Nội,https://img.lazcdn.com/g/p/ab344f79b1c1a2f2eec197483ef796a0.jpg_200x200q80.avif,<s>,Redmi_n0te 14 pro,12GB/512GB pin 5110 mAh,Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105012601.html,điện thoại 0PP0 A92 (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,720000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/6511a36f6bd5b3f1a264643cd4166036.jpg_200x200q80.avif,<s>,0PP0 A92 (8GB/128GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105011655.html,[Chính hãng]Điện thoại 0PP0_A3 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,800000,An Giang,https://img.lazcdn.com/g/p/ab259cb234a37d277b4461c5afd3b1e3.jpg_200x200q80.avif,<s>,0PP0_A3 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105008664.html,[Chính hãng] Điện thoại Opp0 FFIND N3 (16GB/512GB) - Hàng chính hãng,50,1500000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/7cb3bb78e90e2bc2ed62db73b015699e.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N3 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105001713.html,điện thoại 0PP0 A93 5G (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,750000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_200x200q80.avif,<s>,0PP0 A93 5G (8GB/128GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3104999782.html,[Chính hãng]Điện thoại 0PP0_A5 pro 5G - (BH 12 tháng Lỗi 1 đổi 1 trong 30 ngày),50,900000,Lào Cai,https://img.lazcdn.com/g/p/1f4ae9329ce490a5623656a812fb1ae7.jpg_200x200q80.avif,<s>,0PP0_A5 pro 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3104998736.html,"Điện thoại mi Mi 15 Cấu hình mạnh, cày game nặng siêu mượt (12+256B) | Màn hình 6.36",50,1300000,Hà Nội,https://img.lazcdn.com/g/p/f022ab76aa346c6622db7d4b51b9fe23.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3104998719.html,điện thoại 0PP0 Ren0  10pr0+ 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,1200000,An Giang,https://img.lazcdn.com/g/p/c9800d75f3242b31d013cfdeacfbfec6.jpg_200x200q80.avif,<s>,0PP0 Ren0 10pr0+ 5G (12GB/256GB),<s>,<s>,12 tháng
