key_0,main_image,product_title,seller_name,price_final,price_original,discount_percent,brand,model,RAM,ROM,OS,screen_size,warranty,battery_capacity
50,https://img.lazcdn.com/g/p/9271980f80d7345f4ad5e0585f5e899f.jpg_720x720q80.jpg_.webp,Mới Điện thoại di động S24 Ultra smartphone 6.8inch Full Screen 6+128GB giá rẻ cho học sinh Miễn phí vận chuyển COD,Thanh Hoàng Mobile 88,1111000,2222000,50,-1,S24 Ultra smartphone,-1,128,-1,6.8,-1,-1
51,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Tuấn Nguyễn Mobile 88,950000,1900000,50,-1,Ren012,12,512,Android 14,6.7,12,5000
52,https://img.lazcdn.com/g/p/928122795ae5be4be85f3a16fb55a5ea.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,750000,1500000,50,samsung,A32,6,128,Android 11,6.4,12,5000
53,https://img.lazcdn.com/g/ff/kf/S3a50b70e1d4d470bb7cd68df83a1fe0cx.jpg_720x720q80.jpg_.webp,ĐIỆN THOẠI SAMSUNG J6 PLUS 3/32Gb còn mới 90%,Điện Thoại 4G Giá Rẻ,745000,1090000,32,samsung,J6 PLUS,3,32,-1,6.0,-1,3300
54,https://img.lazcdn.com/g/p/78967ecfdc37b80cd77d387101622de1.jpg_720x720q80.jpg_.webp,"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,850000,1700000,50,xiaomi,Mi 13 Ultra,12,256,Android 13,6.73,12,5000
55,https://img.lazcdn.com/g/p/2f2a16e8abbccc486111fd51dd8eb178.jpg_720x720q80.jpg_.webp,Điện thoại Giá rẻ phổ thông S22 Ultra Màn hình FullHD Android Máy ảnh HD Cuộc gọi Chơi trò chơi Xem TV,Thanh Hoàng Mobile 88,829000,1658000,50,samsung,S22 Ultra,-1,-1,Android,-1,-1,-1
56,https://img.lazcdn.com/g/p/928122795ae5be4be85f3a16fb55a5ea.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,750000,-1,-1,samsung,Galaxy A32,6,128,Android 11,6.4,12,5000
57,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",Minh Thành Mobile 88,695000,1390000,50,-1,SS_A72,8,256,"Android 11, One UI 3.0",6.7,12,5000
58,https://img.lazcdn.com/g/p/0686787e1089e24efed41330ff931d78.jpg_720x720q80.jpg_.webp,"Điện thoại SIÊU BỀN oukitel wp38(chống va đập,chống nước, Pin 10600 mAh,Ram 12Gb(6+6),Rom 256Gb,Màn hình 6.52 in,NFC)",Minh Trang Shop99,900000,-1,-1,oukitel,wp38,12,256,,6.52,-1,10600
59,https://img.lazcdn.com/g/p/6916d972afb2767ad53265669d861ddc.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 14  2sim ram 8G/256G, Cấu hình mạnh, cày game nặng siêu mượt, máy chính hãng, bảo hành 12 tháng",Trường An Mobile,1100000,2200000,50,xiaomi,Note 14,8,256,Xiaomi HyperOS,6.67,12,5110
60,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Tuấn Nguyễn Mobile 88,800000,1600000,50,-1,A32,6,128,Android 11,6.4,-1,5000
61,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_720x720q80.jpg_.webp,"Điện thoại chắc chắn Oukitel WP28 S (Màn hình HD 6,52"",pin 10600mAh,NFC,Ram 16GB(4+12),Rom 128GB, Android 14, Camera13M)",Tuấn Nguyễn Mobile 88,1009000,2018000,50,oukitel,WP28 S,16,128,Android 14,6.52,-1,10600
62,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Tuấn Nguyễn Mobile 88,820000,1640000,50,samsung,A72,8,256,"Android 11, One UI 3.0",6.72,12,5000
63,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",Tú Linh Mobile,800000,1600000,50,-1,_note 12,8,128,Android 13,6.67,12,5000
64,https://img.lazcdn.com/g/p/6916d972afb2767ad53265669d861ddc.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 14  2sim ram 8G/256G, Cấu hình mạnh, cày game nặng siêu mượt, máy chính hãng, bảo hành 12 tháng",Ngọc Kem Store,550000,1100000,50,-1,Note 14,8,256,Xiaomi HyperOS,6.67,12,5110
66,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",Thanh Hậu Mobile,800000,1600000,50,xiaomi,Note 12,8,128,Android 13,6.67,12,5000
67,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Thanh Hậu Mobile,1100000,2200000,50,samsung,A55 5G,8,128,Android 14,6.6,12,5000
69,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Tú Linh Mobile,700000,1400000,50,samsung,M51,6,128,Android 10,6.72,-1,7000
70,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",Hân Hân Apple,695000,-1,-1,samsung,Galaxy A72,8,256,Android 11,6.7,12,5000
71,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Thắng Vũ Store,950000,1900000,50,oppo,Ren012,12,-1,Android 14,6.7,12,5000
72,https://img.lazcdn.com/g/p/ea96c7eb07112f2faf8282e6d3bdac3d.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 A53 (128GB) |Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Hiền Cua Store,650000,-1,-1,oppo,A53,4,128,"Android 10, ColorOS 7.2",6.5,12,5000
73,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Thắng Vũ Store,800000,1600000,50,-1,n0te 10pr0,8,128,"Android 11, MIUI 12",6.66,12,5020
74,https://img.lazcdn.com/g/p/f76a01f1fcc8604a703c5fe313be751a.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Cấu hình mạnh, cày game nặng siêu mượt, VÂN TAY OK",Thanh Hậu Mobile,800000,1600000,50,-1,Note 11 pro,8,128,"Android 11, MIUI 12.5",6.72,-1,5000
75,https://img.lazcdn.com/g/p/e78309226d73fec5f8c33fc0856f35be.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,905000,1810000,50,oppo,Ren08pr0,12,256,Android 12,6.7,12,4500
76,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,805000,-1,-1,xiaomi,Note 12,8,128,Android 13,6.67,12,5000
77,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Thanh Hậu Mobile,700000,1400000,50,samsung,M51,6,128,Android 10,6.7,-1,7000
78,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Tuấn Nguyễn Mobile 88,800000,1600000,50,xiaomi,Note 10 Pro,8,128,"Android 11, MIUI 12",6.66,12,5020
79,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Thanh Hậu Mobile,820000,1640000,50,-1,SS_A72,8,256,Android 11,6.7,12,5000
80,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Duy Chiến Mobile,800000,1600000,50,-1,Note 11 pro,8,128,Android 11,6.67,12,5000
81,https://img.lazcdn.com/g/p/80b6dd08c0fe4bb110a3874841184285.jpg_720x720q80.jpg_.webp,Điện thoại X.i.ao.m.i R.ed.mi.9A 2GB/32GB - Màn hình 6.53inch - Pin khủng.5000mah,Nguyên Lê Store,899000,1600000,44,xiaomi,Redmi Note 9A,2,32,Android 10,6.53,-1,5000
82,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Thắng Vũ Store,1100000,2200000,50,-1,SS_ A55 5G,8,128,Android 14,6.6,12,5000
83,https://img.lazcdn.com/g/p/6735baa6efed6ebce04a87b5f3bbe71d.jpg_720x720q80.jpg_.webp,Chính hãng S22 Ultra Smart Game bộ nhớ lớn 12+256GB Điện thoại 6.7inch WiFi 2 SIM Android máy ảnh HDgiá rẻ,Thanh Hoàng Mobile 88,829000,1658000,50,-1,-1,-1,-1,,-1.0,-1,-1
84,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",Minh Thành Mobile 88,700000,1400000,50,samsung,M51,8,128,Android 10,6.7,12,7000
86,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,800000,1600000,50,-1,Note 11 pro,8,128,Android 11,6.67,12,5000
87,https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_720x720q80.jpg_.webp,"Oukitel WP28S Điện thoại SIÊU BỀN(chống nước,chống sốc,pin 10600mAh, Màn hình 6,52"" HD, Camera 13MP ,Android 14,NFC)",Thành Đạt Mobile88,1090000,2018000,46,oukitel,WP28S,16,128,Android 14,6.52,-1,10600
88,https://img.lazcdn.com/g/p/db408caf790633428162ea7edf23d46f.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 F11 (6GB/64GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Trường An Mobile,650000,1300000,50,oppo,F11,6,64,Android 9.0 (Pie); ColorOS 6,6.5,12,4020
89,https://img.lazcdn.com/g/p/9a922c48669018657fe392edef654846.jpg_720x720q80.jpg_.webp,S24 Ultra 5G 16GB+1TB Phiên bản gốc 7.3 inch Pin dung lượng lớn 7800mAh Giá rẻ Vận chuyển miễn phí,Thanh Hoàng Mobile 88,1111000,2222000,50,samsung,-1,16,1000,-1,-1.0,-1,-1
90,https://img.lazcdn.com/g/p/26f3c461d93b11a7c78a761effc91c6f.jpg_720x720q80.jpg_.webp,test测试  12+512GB điên thoại Thẻ 2 sim viettel giá rẻ giá rẻ học sinh Android Mobile Pin Lớn 5600mAh Bán giá rẻ Tiếng Việt dt giá rẻ,Ai cửa hàng kỹ thuật số,994628,1915098,48,-1,-1,12,512,-1,-1,-1,5600
91,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, VÂN TAY OK",Tú Linh Mobile,800000,1600000,50,samsung,A32,6,128,Android 11,6.4,-1,5000
